vat,rabat,cena_netto,ean,nazwa_towaru,ilosc,kategoria
0,None,2.53,5904538031633,Podagrycznik ziele EKO 25g,None,Zio≥a jednorodne
8,None,14.41,5903246869934,Herbatka Bomba witaminowa EKO 100g,None,Herbatki\Owocowe
0,None,6.38,5904538031794,Zupa Krem z topinamburu z ciecierzycπ EKO 30g,None,Zupy
8,None,20.35,5903246869941,Herbatka Malinowa - Lipowa EKO 80g,None,Herbatki\Owocowe
8,None,4.95,5904538030339,JeøÛwka purpurowa EKO 50g - suplement diety,None,Zio≥a jednorodne
0,None,5.5,5904538031817,Niepokalanek pospolity EKO 100g,None,Zio≥a jednorodne
0,None,6.38,5904538031800,Zupa Grochowa EKO 50g,None,Zupy
0,None,30.8,5904538032159,Liofilizowana herbatka OdprÍøenie EKO 5x2g,None,UPOMINKI OKOLICZNOåCIOWE
0,None,35.2,5904538032173,Liofilizowana herbatka Babciny OgrÛd EKO 5x4.5g,None,UPOMINKI OKOLICZNOåCIOWE
0,None,35.2,5904538032142,Liofilizowana herbatka Leúna Malina EKO 5x4.5g,None,UPOMINKI OKOLICZNOåCIOWE
23,None,18.15,5904538030223,PielÍgnujπce mase≥ko dla dzieci z kompleksem olejowym†90 ml,None,Kosmetyki
23,None,23.1,5904538030087,Balsam dla dzieci z ochronnym kompleksem olejowym 300 ml,None,Kosmetyki
23,None,24.75,5904538030186,P≥yn do p≥ukania jamy ustnej†250 ml ØubrÛwka Sza≥wia Tymianek,None,Kosmetyki
23,None,14.3,5904538030070,Delikatny p≥yn do mycia cia≥a i w≥osÛw dla dzieci††300 ml,None,Kosmetyki
23,None,17.6,5904538030094,£agodzπcy krem pieluszkowy z kompleksem olejowym†125 ml,None,Kosmetyki
23,None,20.35,5904538030179,P≥yn do higieny intymnej†200 ml Mydlnica Nagietek Melisa,None,Kosmetyki
23,None,24.75,5904538030230,Hipoalergiczne myd≥o w p≥ynie 500 ml Mydlnica Nagietek ålaz,None,Kosmetyki
23,None,21.45,5904538031725,Olejek do kπpieli i pod prysznic dla dzieci 250 ml,None,Kosmetyki
8,None,42.35,5904538032135,Zimowy upominek - Naturalny zestaw zio≥owy,None,UPOMINKI OKOLICZNOåCIOWE
23,None,21.45,5904538031718,P≥yn do kπpieli dla dzieci 250 ml,None,Kosmetyki
23,None,22.77,5904538031770,Balsam do skÛry suchej i wiotkiej 200 ml,None,Kosmetyki
23,None,35.2,5904538031763,Mleczko do skÛry o nierÛwnym kolorycie 300 ml,None,Kosmetyki
23,None,19.58,5904538031756,Koncentrat do stÛp z rzepieniem 300 ml,None,Kosmetyki
23,None,24.86,5904538031749,Mazid≥o ze z≥otym wπsem 200 ml,None,Kosmetyki
23,None,37.4,5904538031787,Wcierka stymulujπca do skÛry g≥owy i w≥osÛw 150 ml,None,Kosmetyki
23,None,17.05,5904538030148,Mgie≥ka odúwieøajπca do stÛp 100 ml,None,Kosmetyki
0,None,4.95,5904538032111,Ruta ziele EKO 50g,None,Zio≥a jednorodne
23,None,26.95,5904538030391,Zio≥owe myd≥o w p≥ynie 500 ml Bergamotka Trawa cytrynowa,None,Kosmetyki
23,None,28.6,5904538030407,Zio≥owe myd≥o w p≥ynie 500 ml Lawenda MiÍta Geranium,None,Kosmetyki
23,None,31.02,5904538030414,Zio≥owy øel pod prysznic 500 ml Bazylia Grejpfrut Ja≥owiec,None,Kosmetyki
23,None,44.55,5904538030421,Zio≥owy øel pod prysznic 500 ml Lawenda Magnolia,None,Kosmetyki
8,None,19.14,5903246869958,Herbatka Malinowo-RÛøana EKO 100g,None,Herbatki\Owocowe
8,None,6.16,5904538032289,Herbatka Dla dzieci KRASNOLUDEK EKO 50g,None,Herbatki\Zio≥owe
8,None,63.8,5904538032548,Dzika rÛøa - naturalny zestaw zio≥owy,None,PRODUKTY åWI•TECZNE
8,None,46.86,5904538032531,Dary lasu - naturalny zestaw zio≥owy,None,PRODUKTY åWI•TECZNE
8,None,53.68,5904538032524,OgrÛd zio≥owy - naturalny zestaw zio≥owy,None,PRODUKTY åWI•TECZNE
8,None,57.53,5904538032517,Idzie zima - naturalny zestaw zio≥owy,None,PRODUKTY åWI•TECZNE
8,None,27.61,5904538032357,Herbaciany upominek - Zestaw herbatek rozgrzewajπcych,None,UPOMINKI OKOLICZNOåCIOWE
8,None,8.69,5903246869965,Herbatka Rozgrzewajπca EKO 50g,None,Herbatki\Owocowe
8,None,7.48,5904538032302,Herbatka na patyku Rozgrzewajπca EKO 1 szt.,None,UPOMINKI OKOLICZNOåCIOWE
8,None,7.15,5904538032333,Herbatka na patyku Kwiatowa EKO 1 szt.,None,UPOMINKI OKOLICZNOåCIOWE
8,None,7.15,5904538032340,Herbatka na patyku MiÍta EKO 1 szt.,None,Herbatki\Na patyku
8,None,7.15,5904538032296,Herbatka na patyku £πka motyli EKO 1 szt.,None,Herbatki\Na patyku
8,None,7.15,5904538032326,Herbatka na patyku Relaks EKO 1 szt.,None,UPOMINKI OKOLICZNOåCIOWE
0,None,6.71,5904538032241,Zupa Pomidorowa EKO 50g,None,Zupy
0,None,6.38,5904538032258,Zupa Krem z dyni EKO 45g,None,Zupy
8,None,12.1,5904538032432,Herbatka na patyku £πka motyli EKO 2 szt.,None,UPOMINKI OKOLICZNOåCIOWE
8,None,12.1,5904538032418,Herbatki na patyku Kwiatowa EKO 2 szt.,None,Herbatki\Na patyku
8,None,12.1,5904538032395,Herbatka na patyku Relaks EKO 2 szt.,None,Herbatki\Na patyku
8,None,19.69,5903246869972,Herbatka Truskawkowo-malinowo-rÛøana EKO 100g,None,Herbatki\Owocowe
0,None,6.49,5904538032388,Serdecznik ziele 50g,None,Zio≥a jednorodne
0,None,8.03,5904538032364,Pierwiosnek kwiat Eko 25g,None,Zio≥a jednorodne
8,None,11.22,5903246869767,Herbatka Rozgrzewajπca EKO 25x2g,None,Herbatki\Zio≥owe
0,None,13.09,5904538032562,Yacon ziele 50g,None,Zio≥a jednorodne
0,None,12.87,5904538032555,Bertram ziele 50g,None,Zio≥a jednorodne
8,None,33,5904538032401,Herbatka na patyku Relaks EKO 8 szt.,None,Herbatki\Na patyku
8,None,33,5904538032425,Herbatka na patyku Kwiatowa EKO 8 szt.,None,Herbatki\Na patyku
8,None,33,5904538032623,Herbatka na patyku Kolekcja EKO 8 szt.,None,Herbatki\Na patyku
0,None,19.03,5904538032609,Olej s≥onecznikowy 0.5l,None,Oleje t≥oczone na zimno
0,None,6.38,5904538032616,Zupa Jarzynowa Eko 28g,None,Zupy
