#1
#1
#1
$2422	16024229
$2423	16024236
$2424	16024243
$2425	16024250
$3900	28039006
$3901	28039013
$3902	28039020
$3903	28039037
$4070	29040704
$4071	30040717
$4072	30040724
$3434	23034341
$3435	23034358
$3436	23034365
$3437	23034372
$3438	23034389
$3439	23034396
$3691	25036916
$3692	25036923
$3696	25036961
$3698	25036985
$3440	23034402
$3442	23034426
$3443	23034433
$3700	25037005
$3701	00000918
$3066	00018647
$3703	00018654
$3704	00018661
$3705	00018678
$3952	00018685
$3707	00018692
$3709	25037098
$3710	25037104
$3711	00001069
$3712	00018715
$3713	00018722
$3714	00001076
$1376	00018746
$3716	25037166
$3717	25037173
$3785	00002660
$3719	25037197
$1377	00002745
$3684	00003100
$3780	00003452
$3725	00018791
$3726	00018807
$3727	00018814
$3728	00018821
$3730	00004183
$3731	00018852
$3733	25037333
$3734	25037340
$3735	25037357
$3737	25037371
$3738	25037388
$1378	00007009
$3742	00018906
$3743	00018913
$3744	00018920
$3745	25037456
$3746	25037463
$3747	00007245
$3748	00018944
$3751	25037517
$3752	00007412
$3753	00018968
$3754	00018975
$3758	00007443
$3759	00018999
$3760	00019002
$3761	00019019
$3762	00019026
$3763	00019033
$3766	00007689
$3767	00019057
$3768	00019064
$3769	00019071
$3770	00019088
$3771	00019095
$3772	00019101
$1381	00008891
$3774	00019125
$3791	00019132
$3777	25037777
$3778	25037784
$3781	00009775
$3783	25037838
$1398	00010306
$3054	00019163
$3789	25037890
$1890	00010559
$3776	00019187
$1284	00011280
$1277	00019200
$3930	00019217
$794	00019224
$3996	00011358
$3998	00019248
$3999	00019255
$3995	00011495
$3983	00019279
$3994	00019286
$1271	00019293
$1273	00019309
$3979	00019316
$693	00019323
$1344	00019330
$3949	00011501
$3033	00019354
$3793	00019361
$3792	00019378
$3954	00011587
$3787	00019392
$3956	00019408
$3957	00019415
$3779	00019422
$3959	00019439
$3960	00011617
$3961	31039611
$3962	00011785
$3963	00019460
$3964	00019477
$3965	00019484
$3966	00019491
$3971	31039710
$3022	00012669
$3973	31039734
$3975	31039758
$3679	00013727
$3977	00019538
$3978	31039789
$3982	31039826
$3984	00014465
$3694	00014731
