KOPIE DOKUMENTOW Z KAS FISKALNYCH
etykieta: 160524_153936_1501240287_8D49
od: 24.05.2016 15:39:00
do: 01.01.2021 17:22:00
nip: NIP:6412472651
data zamkniecia nosnika: 00-00-0000 00:00:00

 nr unikatowy   | nr doby | od                  | do
                |  00247  | 17.03.2017 10:22:00 | 17.03.2017 17:30:00
                |  00248  | 18.03.2017 09:29:00 | 18.03.2017 13:02:00
                |  00249  | 20.03.2017 09:42:00 | 20.03.2017 17:26:00
                |  00250  | 21.03.2017 11:01:00 | 21.03.2017 17:32:00
                |  00251  | 22.03.2017 09:50:00 | 22.03.2017 17:49:00
                |  00252  | 23.03.2017 09:34:00 | 23.03.2017 17:45:00
                |  00253  | 24.03.2017 09:54:00 | 24.03.2017 17:27:00
                |  00254  | 25.03.2017 10:22:00 | 25.03.2017 12:54:00
                |  00255  | 27.03.2017 08:40:00 | 27.03.2017 16:36:00
                |  00256  | 28.03.2017 09:22:00 | 28.03.2017 16:26:00
                |  00257  | 29.03.2017 08:47:00 | 29.03.2017 16:26:00
                |  00258  | 30.03.2017 08:46:00 | 30.03.2017 16:54:00
                |  00259  | 31.03.2017 08:33:00 | 31.03.2017 16:46:00
                |  00260  | 01.04.2017 08:42:00 | 01.04.2017 12:33:00
                |  00261  | 03.04.2017 08:44:00 | 03.04.2017 16:29:00
                |  00262  | 04.04.2017 09:09:00 | 04.04.2017 16:51:00
                |  00263  | 05.04.2017 08:52:00 | 05.04.2017 16:25:00
                |  00264  | 06.04.2017 08:48:00 | 06.04.2017 16:26:00
                |  00265  | 07.04.2017 08:54:00 | 07.04.2017 16:28:00
                |  00266  | 08.04.2017 08:23:00 | 08.04.2017 12:05:00
                |  00267  | 10.04.2017 08:33:00 | 10.04.2017 16:29:00
                |  00268  | 11.04.2017 08:32:00 | 11.04.2017 16:36:00
                |  00269  | 12.04.2017 09:25:00 | 12.04.2017 16:38:00
                |  00270  | 13.04.2017 08:34:00 | 13.04.2017 16:31:00
                |  00271  | 14.04.2017 08:41:00 | 14.04.2017 17:02:00
                |  00272  | 15.04.2017 08:12:00 | 15.04.2017 12:06:00
                |  00273  | 18.04.2017 08:44:00 | 18.04.2017 16:59:00
                |  00274  | 18.04.2017 17:59:00 | 19.04.2017 17:49:00
                |  00275  | 19.04.2017 17:51:00 | 20.04.2017 17:25:00
                |  00276  | 20.04.2017 17:32:00 | 21.04.2017 17:31:00
                |  00277  | 22.04.2017 09:46:00 | 22.04.2017 13:28:00
                |  00278  | 24.04.2017 09:36:00 | 24.04.2017 17:31:00
                |  00279  | 25.04.2017 09:39:00 | 25.04.2017 17:54:00
                |  00280  | 26.04.2017 09:41:00 | 26.04.2017 18:03:00
                |  00281  | 27.04.2017 09:41:00 | 27.04.2017 17:29:00
                |  00282  | 28.04.2017 09:38:00 | 28.04.2017 17:35:00
                |  00283  | 29.04.2017 09:12:00 | 29.04.2017 13:02:00
                |  00284  | 04.05.2017 09:38:00 | 04.05.2017 17:30:00
                |  00285  | 05.05.2017 09:40:00 | 05.05.2017 17:24:00
                |  00286  | 06.05.2017 09:11:00 | 06.05.2017 13:02:00
                |  00287  | 08.05.2017 09:59:00 | 08.05.2017 17:38:00
                |  00288  | 09.05.2017 09:41:00 | 09.05.2017 17:48:00
                |  00289  | 10.05.2017 10:23:00 | 10.05.2017 18:41:00
                |  00290  | 11.05.2017 10:18:00 | 11.05.2017 17:50:00
                |  00291  | 12.05.2017 10:32:00 | 12.05.2017 17:31:00
                |  00292  | 13.05.2017 09:16:00 | 13.05.2017 13:19:00
                |  00293  | 15.05.2017 09:39:00 | 15.05.2017 17:32:00
                |  00294  | 16.05.2017 09:36:00 | 16.05.2017 17:31:00
                |  00295  | 17.05.2017 10:09:00 | 17.05.2017 17:30:00
                |  00296  | 18.05.2017 09:57:00 | 18.05.2017 17:31:00
                |  00297  | 19.05.2017 09:36:00 | 19.05.2017 17:41:00
                |  00298  | 20.05.2017 09:12:00 | 20.05.2017 13:18:00
                |  00299  | 22.05.2017 09:58:00 | 22.05.2017 17:38:00
                |  00300  | 23.05.2017 09:54:00 | 23.05.2017 17:35:00
                |  00301  | 24.05.2017 10:20:00 | 24.05.2017 17:32:00
                |  00302  | 24.05.2017 18:56:00 | 25.05.2017 17:31:00
                |  00303  | 26.05.2017 09:28:00 | 26.05.2017 18:36:00
                |  00304  | 27.05.2017 09:16:00 | 27.05.2017 13:46:00
                |  00305  | 29.05.2017 09:44:00 | 29.05.2017 17:34:00
                |  00306  | 30.05.2017 09:53:00 | 30.05.2017 17:29:00
